session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_date,rating_comment
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,overdrive1,reference,100,75,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,overdrive1,anchor,100,75,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,overdrive1,end2end,100,75,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,ambience1,anchor,100,100,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,ambience1,end2end,100,100,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,ambience1,reference,100,100,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,multiband0,style_transfer,100,87,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,multiband0,anchor,100,87,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,multiband0,end2end,100,87,"27/03/2023, 20:06:41",
style_transfer,6078451d-adce-43a1-9289-46e0dd3514e1,multiband0,reference,100,87,"27/03/2023, 20:06:41",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,C3,20,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,anchor70,100,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,C2,21,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,C1,21,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,reference,100,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,training,anchor35,100,118308,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband0,end2end,85,81117,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband0,style_transfer,100,81117,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband0,anchor,61,81117,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband0,reference,100,81117,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband1,end2end,61,41036,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband1,anchor,40,41036,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband1,style_transfer,88,41036,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband1,reference,100,41036,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience2,reference,100,84663,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience2,anchor,63,84663,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience2,end2end,63,84663,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive0,end2end,61,29220,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive0,anchor,80,29220,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive0,reference,100,29220,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience0,end2end,40,41801,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience0,reference,100,41801,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience0,anchor,60,41801,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive2,end2end,72,23794,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive2,reference,100,23794,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive2,anchor,81,23794,"28/03/2023, 09:25:40",
